Rank,Company,Location,Turnover £m,Pre-tax Profit £m,Year End
1,ASHLEIGH (SCOTLAND) ,Prestwick,77.2,13.3,Mar 25
2,FUTURE  TECHNOLOGY DEVICES INTERNATIONAL ,Glasgow,67.3,48.6,Dec 23
3,HYDRASUN ,Aberdeen,78.2,5.6,Dec 24
4,OH POLLY ,Glasgow,68.1,10.5,Apr 25
5,KLONDYKE GROUP ,Grangemouth,78.0,6.6,Sep 24
6,THE EDINBURGH INVESTMENT TRUST PUBLIC  COMPANY,Edinburgh,53.7,48.4,Mar 25
7,MORTON FRASER MACROBERTS LLP,Edinburgh,50.7,19.4,Apr 25
8,BALHOUSIE  ,Perth,57.2,9.6,Sep 24
9,MORRIS LESLIE  ,Perth,76.3,5.7,Apr 25
10,FAIRHURST GROUP LLP,Edinburgh,50.9,10.9,Mar 25
11,PROSOURCEIT (UK) ,Aberdeen,53.5,8.3,Jun 25
12,MV COMMERCIAL ,Airdrie,68.6,5.7,Jun 25
13,HARPER MACLEOD LLP,Glasgow,43.5,16.1,Mar 25
14,WALTER DAVIDSON & SONS ,Blairgowrie,72.2,4.9,Jan 25
15,THORNTONS LAW LLP,Dundee,43.9,12.4,May 24
16,SCOTTISH EVENT CAMPUS ,Glasgow,54.4,6.5,Mar 25
17,ACTIVPAYROLL ,Aberdeen,57.4,5.8,Mar 25
18,M & D GREEN DISPENSING CHEMIST ,Glasgow,69.7,4.3,Mar 25
19,DUNCAN FARMS ,Turriff,39.7,29.1,Mar 25
20,TSQUARED GROUP ,Glasgow,40.6,13.7,Mar 25
21,W M DONALD ,Stonehaven,75.2,3.5,Mar 25
22,MARITIME DEVELOPMENTS ,Aberdeen,40.2,9.8,Mar 25
23,STATS (UK) ,Aberdeen,74.7,3.2,Dec 23
24,INDIGO SUN RETAIL ,Stirling,37.3,10.0,Sep 24
25,UNION TECHNICAL SERVICES ,Glasgow,38.9,7.3,Dec 24
26,MCPHERSON ,Aberdeen,53.3,4.1,Jul 24
27,ABBOTT RISK CONSULTING ,Edinburgh,47.7,4.8,Dec 24
28,EMERGENCY ONE (UK) ,Cumnock,59.6,3.4,Dec 24
29,ANDERSON STRATHERN LLP,Edinburgh,21.2,5.6,Mar 25
30,GILSON GRAY LLP,Edinburgh,38.7,6.6,Apr 25
31,DRON & DICKSON GROUP ,Stirling,62.7,2.9,May 25
32,DAVIDSON BROTHERS (SHOTTS) ,Shotts,56.7,3.1,Jul 25
33,SM BAYNE & COMPANY  (T/A BAYNES THE FMAILY BAKERS),Lochgelly,51.3,3.4,Mar 25
34,GLASGOW WHISKY ,Glasgow,34.7,8.4,Dec 24
35,GUITAR GUITAR ,Paisley,46.2,3.5,May 24
36,STEWARTS OF TAYSIDE ,Perth,41.4,4.1,May 24
37,SEAFOOD ECOSSE ,Aberdeen,48.2,3.2,Dec 24
38,KDM SHOPFITTING ,Dunfermline,48.7,3.1,Dec 24
39,STRATHBERRY ,Edinburgh,36.1,5.3,Apr 25
40,SKYRORA VENTURES ,Glasgow,36.1,5.2,Dec 24
41,SOLSTAD OFFSHORE UK ,Aberdeen,30.2,11.1,Dec 24
42,THE CRESS COMPANY (SCOTLAND) ,Dunfermline,53.6,2.6,Dec 24
43,SALTIRE ENERGY ,Aberdeen,29.8,12.4,Jun 24
44,COMMSWORLD ,Newbridge,36.9,4.7,Dec 24
45,CITY GATE CONSTRUCTION (SCOTLAND) ,Paisley,37.5,4.2,Apr 25
46,ENVIROCLEAN (SCOTLAND) ,Glasgow,37.0,4.3,Dec 24
47,RAD ,Cumnock,38.0,4.0,Jun 24
48,ANDRON CONTRACT SERVICES ,Aberdeen,69.4,2.1,Nov 24
